Alpha,C_l,C_d,C_m
-9.59183673469388,-0.702893869850026,0.101671633350863,0.0237032513561525
-9.18367346938776,-0.710881961769218,0.0925325781011749,0.0192672683092271
-8.77551020408163,-0.721125686298286,0.0830052624410798,0.0137640361303278
-8.36734693877551,-0.731118061892224,0.0733486056721297,0.00567817672946074
-7.95918367346939,-0.740251270524426,0.0613324031581437,-0.00547887408081524
-7.55102040816327,-0.73914195627715,0.0516560675829701,-0.0099149472721123
-7.14285714285714,-0.727873158400935,0.0435748666700942,-0.0114700852706047
-6.73469387755102,-0.715028821678381,0.032906513905287,-0.0110524441031921
-6.3265306122449,-0.69149663461745,0.0248675024879301,-0.00924974672792784
-5.91836734693878,-0.658510037700871,0.0189932557505792,-0.0070592028182742
-5.51020408163265,-0.617918954220504,0.015967433890797,-0.00540713736716435
-5.10204081632653,-0.57567246204472,0.0140560933893526,-0.00418323723275073
-4.69387755102041,-0.533179182252591,0.012458195776711,-0.00292403693917242
-4.28571428571429,-0.490508866788035,0.0111905648068498,-0.0017120821238005
-3.87755102040816,-0.447463699990455,0.0101786841042562,-0.000580435678479617
-3.46938775510204,-0.40437567384172,0.00929317831719752,0.000468810546678478
-3.06122448979592,-0.361375700864534,0.00849102481721918,0.00149769666731305
-2.6530612244898,-0.320321359403259,0.0073698828633527,0.00236132994545791
-2.24489795918367,-0.279627211434412,0.00628652320589583,0.00316487198923705
-1.83673469387755,-0.238542203707641,0.00546579428226582,0.00420182580427582
-1.42857142857143,-0.198033588569946,0.00483081753742136,0.00576835828557825
-1.02040816326531,-0.159322635824007,0.00445637699697586,0.00825248108213746
-0.612244897959184,-0.109745943837932,0.00444227311611811,0.00848531984997533
-0.204081632653061,-0.0352118757670395,0.00449407376389553,0.00261559328997201
0.204081632653061,0.0352118754648202,0.00449407376810238,-0.00261559322699889
0.612244897959184,0.109745943060081,0.00444227312979611,-0.00848531969480788
1.02040816326531,0.159322635123524,0.00445637701577852,-0.00825248095047918
1.42857142857143,0.198033587932522,0.00483081755830829,-0.00576835816327031
1.83673469387755,0.238542203120583,0.00546579431006288,-0.00420182568616792
2.24489795918367,0.279627210934974,0.00628652324071709,-0.00316487188377979
2.6530612244898,0.320321359031539,0.00736988290441673,-0.00236132985929019
3.06122448979592,0.361375700657694,0.00849102486829074,-0.00149769661194613
3.46938775510204,0.404375673800214,0.00929317837768368,-0.00046881051971767
3.87755102040816,0.447463700136436,0.0101786841721471,0.000580435676984249
4.28571428571429,0.490508867122131,0.0111905648873219,0.00171208209481399
4.69387755102041,0.533179182802386,0.0124581958697668,0.00292403688230176
5.10204081632653,0.575672462827766,0.0140560934970023,0.0041832371494401
5.51020408163265,0.617918955260664,0.0159674340195278,0.00540713725389198
5.91836734693878,0.658510039187655,0.0189932559022411,0.00705920265831469
6.3265306122449,0.691496637103877,0.0248675027265111,0.00924974646579968
6.73469387755102,0.715028825822682,0.0329065147280719,0.0110524436410295
7.14285714285714,0.727873168527084,0.0435748677783469,0.0114700841399619
7.55102040816327,0.739141976519864,0.0516560688918441,0.00991494525506178
7.95918367346939,0.740251296656833,0.0613324113074406,0.00547886727738058
8.36734693877551,0.731118145204955,0.073348606719893,-0.00567817788188493
8.77551020408163,0.721125796014309,0.083005268300659,-0.0137640451966257
9.18367346938776,0.710882055219972,0.0925326036231526,-0.0192672900565184
9.59183673469388,0.702893995854658,0.101671661628551,-0.0237032754273939
